wav,flux
4591.16,1.246448e-13
4592.16,1.236277e-13
4593.16,1.274822e-13
4594.16,1.206822e-13
4595.16,1.20286e-13
4596.16,1.221129e-13
4597.16,1.228162e-13
4598.16,1.250442e-13
4599.16,1.242462e-13
4600.16,1.25026e-13
4601.16,1.284158e-13
4602.16,1.256756e-13
4603.16,1.257946e-13
4604.16,1.252243e-13
4605.16,1.245889e-13
4606.16,1.262299e-13
4607.16,1.265809e-13
4608.16,1.281028e-13
4609.16,1.281117e-13
4610.16,1.242101e-13
4611.16,1.263267e-13
4612.16,1.248051e-13
4613.16,1.238382e-13
4614.16,1.239943e-13
4615.16,1.291002e-13
4616.16,1.253982e-13
4617.16,1.248756e-13
4618.16,1.259191e-13
4619.16,1.277955e-13
4620.16,1.268442e-13
4621.16,1.254418e-13
4622.16,1.254641e-13
4623.16,1.274831e-13
4624.16,1.279603e-13
4625.16,1.224793e-13
4626.16,1.203976e-13
4627.16,1.207626e-13
4628.16,1.224923e-13
4629.16,1.214295e-13
4630.16,1.202227e-13
4631.16,1.192984e-13
4632.16,1.190291e-13
4633.16,1.175123e-13
4634.16,1.187557e-13
4635.16,1.185316e-13
4636.16,1.169236e-13
4637.16,1.160125e-13
4638.16,1.195249e-13
4639.16,1.189948e-13
4640.16,1.162908e-13
4641.16,1.116192e-13
4642.16,1.147866e-13
4643.16,1.142847e-13
4644.16,1.122455e-13
4645.16,1.089763e-13
4646.16,1.075196e-13
4647.16,1.062842e-13
4648.16,1.059836e-13
4649.16,1.061954e-13
4650.16,1.064209e-13
4651.16,1.033766e-13
4652.16,1.047177e-13
4653.16,1.051287e-13
4654.16,1.024642e-13
4655.16,1.019372e-13
4656.16,1.025957e-13
4657.16,1.020673e-13
4658.16,1.004772e-13
4659.16,9.773446e-14
4660.16,9.811593e-14
4661.16,9.90007e-14
4662.16,9.848586e-14
4663.16,9.432158e-14
4664.16,9.66212e-14
4665.16,9.570061e-14
4666.16,9.436839e-14
4667.16,9.305092e-14
4668.16,9.384325e-14
4669.16,9.386524e-14
4670.16,9.485442e-14
4671.16,9.50708e-14
4672.16,9.146357e-14
4673.16,9.105048e-14
4674.16,9.191672e-14
4675.16,9.298882e-14
4676.16,9.403847e-14
4677.16,9.509585e-14
4678.16,9.442544e-14
4679.16,9.126152e-14
4680.16,8.832937e-14
4681.16,9.25699e-14
4682.16,9.372739e-14
4683.16,9.431712e-14
4684.16,9.397798e-14
4685.16,9.229819e-14
4686.16,9.537088e-14
4687.16,9.198886e-14
4688.16,9.05929e-14
4689.16,9.087941e-14
4690.16,9.215249e-14
4691.16,9.267198e-14
4692.16,9.349207e-14
4693.16,9.382484e-14
4694.16,9.293658e-14
4695.16,8.94214e-14
4696.16,9.024747e-14
4697.16,9.229049e-14
4698.16,9.481418e-14
4699.16,9.436411e-14
4700.16,9.641797e-14
4701.16,9.432661e-14
4702.16,9.229304e-14
4703.16,9.437648e-14
4704.16,9.179298e-14
4705.16,9.398072e-14
4706.16,9.448264e-14
4707.16,9.288374e-14
4708.16,9.520184e-14
4709.16,9.391355e-14
4710.16,9.363345e-14
4711.16,9.398785e-14
4712.16,9.498477e-14
4713.16,9.203346e-14
4714.16,9.247957e-14
4715.16,9.368081e-14
4716.16,9.513411e-14
4717.16,9.483775e-14
4718.16,9.411597e-14
4719.16,9.319011e-14
4720.16,9.276159e-14
4721.16,9.49213e-14
4722.16,9.727123e-14
4723.16,9.57599e-14
4724.16,9.415775e-14
4725.16,9.353935e-14
4726.16,9.409659e-14
4727.16,9.325236e-14
4728.16,9.257518e-14
4729.16,9.224023e-14
4730.16,9.310335e-14
4731.16,9.366751e-14
4732.16,9.317322e-14
4733.16,9.289362e-14
4734.16,9.342077e-14
4735.16,9.175491e-14
4736.16,9.123533e-14
4737.16,9.08865e-14
4738.16,9.05251e-14
4739.16,8.931621e-14
4740.16,8.931869e-14
4741.16,8.94931e-14
4742.16,8.890848e-14
4743.16,8.666039e-14
4744.16,8.706713e-14
4745.16,8.722271e-14
4746.16,8.769033e-14
4747.16,8.819408e-14
4748.16,8.693287e-14
4749.16,8.510076e-14
4750.16,8.393746e-14
4751.16,8.358281e-14
4752.16,8.464052e-14
4753.16,8.442724e-14
4754.16,8.273994e-14
4755.16,8.091906e-14
4756.16,7.961166e-14
4757.16,8.347512e-14
4758.16,8.483201e-14
4759.16,8.347448e-14
4760.16,8.137392e-14
4761.16,7.990842e-14
4762.16,8.001544e-14
4763.16,7.97383e-14
4764.16,7.984995e-14
4765.16,8.021361e-14
4766.16,7.835858e-14
4767.16,7.954909e-14
4768.16,7.935356e-14
4769.16,7.874344e-14
4770.16,7.855194e-14
4771.16,7.8439e-14
4772.16,7.859722e-14
4773.16,7.92532e-14
4774.16,8.002662e-14
4775.16,7.47543e-14
4776.16,7.37484e-14
4777.16,7.564102e-14
4778.16,7.820029e-14
4779.16,7.891144e-14
4780.16,7.749218e-14
4781.16,7.864229e-14
4782.16,8.001157e-14
4783.16,8.10575e-14
4784.16,7.921529e-14
4785.16,7.933334e-14
4786.16,7.906761e-14
4787.16,7.910174e-14
4788.16,8.078203e-14
4789.16,8.184236e-14
4790.16,8.136315e-14
4791.16,8.064137e-14
4792.16,7.998949e-14
4793.16,8.176226e-14
4794.16,8.168669e-14
4795.16,8.087631e-14
4796.16,8.033331e-14
4797.16,8.201304e-14
4798.16,8.246991e-14
4799.16,8.230889e-14
4800.16,8.251153e-14
4801.16,8.31424e-14
4802.16,8.0614e-14
4803.16,8.249908e-14
4804.16,8.270427e-14
4805.16,8.227564e-14
4806.16,8.265356e-14
4807.16,8.319262e-14
4808.16,8.332576e-14
4809.16,8.329356e-14
4810.16,8.304258e-14
4811.16,8.070517e-14
4812.16,8.140073e-14
4813.16,8.096967e-14
4814.16,8.02767e-14
4815.16,8.072826e-14
4816.16,7.838013e-14
4817.16,7.825416e-14
4818.16,7.891265e-14
4819.16,8.005081e-14
4820.16,7.932741e-14
4821.16,7.904988e-14
4822.16,7.768504e-14
4823.16,7.657056e-14
4824.16,7.83306e-14
4825.16,7.93587e-14
4826.16,7.69608e-14
4827.16,7.490081e-14
4828.16,7.400291e-14
4829.16,7.375965e-14
4830.16,7.468351e-14
4831.16,7.31187e-14
4832.16,7.15739e-14
4833.16,7.442616e-14
4834.16,7.130781e-14
4835.16,6.989693e-14
4836.16,6.95306e-14
4837.16,7.001824e-14
4838.16,6.685033e-14
4839.16,6.623686e-14
4840.16,6.635855e-14
4841.16,6.645459e-14
4842.16,6.528428e-14
4843.16,6.700687e-14
4844.16,6.539829e-14
4845.16,6.413413e-14
4846.16,6.390982e-14
4847.16,6.532168e-14
4848.16,6.372452e-14
4849.16,6.39025e-14
4850.16,6.392242e-14
4851.16,6.088757e-14
4852.16,6.354367e-14
4853.16,6.176083e-14
4854.16,6.006939e-14
4855.16,5.91945e-14
4856.16,5.948021e-14
